sous_niche,exact,avg,min,verdict
philosophy app,1,3.92,2.40,PEPITE - apprentissage philosophie, page1 mediocre
sermon app,0,4.12,3.29,PEPITE - sermon AI note-taker emerge
advent app,0,4.17,3.60,PEITIE mineure
islamic kids,0,4.27,3.44,SATURE (Muslim Kids/Miraj forts)
learn quran for kids,0,4.28,3.44,SATURE
worship app,0,4.38,3.40,SATURE
bible for kids,0,4.49,4.06,SATURE (Bible App for Kids fort)
muslim kids,4,4.33,3.68,SATURE
quran teacher,3,4.57,4.00,SATURE
quran hifz,0,4.74,4.39,SATURE page1 excellente
quran duas,0,4.8,4.7,SATURE
zikr counter,0,4.84,4.79,SATURE
