keyword,ranked,exact_title,avg_score,min_score,fresh_updated,top_titles
"bitcoin","10","7","4.45","3.99","0","Bitcoin.com: Crypto Wallet | BTCC - Trade Bitcoin & Crypto | Coinbase: Buy Crypto & Stocks | Kraken: Buy Crypto & Stocks | Trust: Crypto & Bitcoin Wallet | Bitcoin Mining (Crypto Miner) | Blockchain Wallet: Buy BTC | WEEX - Buy Bitcoin & Crypto | Crypto & Bitcoin Wallet Paybis | Gate: Buy Bitcoin & Crypto"
"crypto","10","9","4.48","4.30","0","Crypto.com: Trade Every Market | BTCC - Trade Bitcoin & Crypto | Trust: Crypto & Bitcoin Wallet | Kraken: Buy Crypto & Stocks | Coinbase: Buy Crypto & Stocks | Crypto.com: Onchain Wallet | Uphold: Buy BTC, ETH and 300+ | WEEX - Buy Bitcoin & Crypto | Gate: Buy Bitcoin & Crypto | MetaMask: Trade Crypto"
"home design","10","5","4.39","4.00","0","Design Home™: House Makeover | Home Design Makeover | Live Home 3D: House Design | Redecor - Home Design Game | Planner 5D: AI Home Design | House Flipper: Home Design | Home Planner AI: Room Interior | Home AI - AI Interior Design | Houzz - Home Design & Remodel | House Designer : Fix & Flip"
"interior design","10","2","4.28","3.31","0","Planner 5D: AI Home Design | Design Home™: House Makeover | AI Remodel - Interior Design | Homestyler - Home Design Game | Redecor - Home Design Game | Home Planner AI: Room Interior | Home AI - AI Interior Design | Houzz - Home Design & Remodel | HomeByMe | Decor Life - Home Design Game"
"room planner","10","0","3.97","2.54","0","Home Planner AI: Room Interior | Planner 5D: AI Home Design | Home Designer 3D: Room Plan | Floor Plan Creator | RoomSketcher for Tablets | HomeByMe | Houzz - Home Design & Remodel | Home Design 3D: Draw & Plan | RoomGPT AI - Interior Design | Homestyler - Home Design Game"
"passport photo","10","8","4.49","3.74","0","Passport Photo: ID Photo Print | Passport Photo Maker – VISA/ID | Passport Size Photo Editor | Passport Photo Maker & Checker | Passport Photo & IDPhoto Maker | Passport Photo - ID Photo | Passport Photo Maker - US 2x2 | ID Photo: Passport Photo Maker | US Passport Photo | ID Photo & Passport Portrait"
"ev charging","10","5","4.26","2.50","0","PlugShare - EV & Tesla Map | ChargePoint | Chargehub EV & Tesla Charging | ev.energy: Home EV Charging | Electrify America | EVgo Fast EV Charging Stations | Presto - EV Charging Stations | Chargemap - Charging stations | Statiq: EV Charging Stations | Chargefox: EV Charging Network"
"ai chat","10","2","4.14","2.10","0","PolyBuzz: Chat with AI Friends | Chai: Chat AI Platform | Dootchi: Chat with AI Chars | ChatGPT | Character AI: Chat, Talk, Text | Talkie: Creative AI Community | Emochi: Chat With Character | AI Chat App - AI Chat bot | ChatOn - AI Chat Bot Assistant | Cycle AI: Chat & AI Friends"
"ai companion","10","1","4.15","2.10","0","Kindroid: Your Personal AI | Replika: My AI Friend | Nomi: AI Companion with a Soul | Grok AI | Character AI: Chat, Talk, Text | Paradot: Personal AI chat | ChatGPT | ChatOn - AI Chat Bot Assistant | PolyBuzz: Chat with AI Friends | Perplexity - Ask Anything"
"nails","10","3","4.36","3.71","0","Acrylic Nails! | Girls Nail Salon - Kids Games | Hello Kitty Nail Salon | Nail Art Salon - Manicure | Nail Salon Makeover Girl Games | Nail Art Salon for Kids Game | Nail Design Studio | Nail Art Design: Paint Nails | Nail Salon Games Acrylic Nails | Nail Games: Nail Art for Girls"
"hairstyle","10","7","3.67","1.40","0","Toca Boca Hair Salon 4 | HairHunt: AI Hairstyle Try-On | Hair Color & Hairstyle Try On | AI Hair Styler & Hairstyles | YouCam Makeup: Face Editor | Moggr - Haircut & Looksmax AI | HairApp: AI Hairstyle Try On | AI Hairstyle & Hair Cut Editor | Girls Hairstyle Step By Step | Hairu: Hairstyle Try On"
