sous_niche,exact,avg,min,verdict
sauna app,0,2.90,1.33,PEPITE FORTE - recuperation sante, page1 mediocre
cold plunge app,0,3.13,1.59,PEPITE FORTE - recovery, tres monteisable
project kanban,0,3.83,2.81,PEPITE - productivite
yoga for pregnancy,0,3.91,2.85,PEPITE - femme enceinte
colic relief,0,3.92,2.48,PEPITE - bebe coliques
data backup,0,4.03,2.08,MOYEN - satures OneDrive/Dropbox
glucose monitor,1,3.93,1.93,SATURE (mySugr/Dexcom)
hrv app,0,4.15,3.00,MOYEN - emergents
budget envelope,0,4.19,3.18,SATURE (YNAB/EveryDollar)
chores chart,0,4.23,3.13,SATURE (Kids Chores forts)
diabetes recipes,2,3.96,2.83,MOYEN
pdf sign,1,4.14,2.30,MOYEN
ad blocker,2,4.05,3.14,MOYEN
